event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
100 Meter Dash,Boys,3,,Finals,-1.9,Yashawn Hamilton,14,4,Kingston College,11.44,5
100 Meter Dash,Boys,3,,Finals,-1.9,Taiwane Garriques,14,5,St. Jago High,11.57,4
100 Meter Dash,Boys,3,,Finals,-1.9,Remario McCARTY,14,6,Manchester High,11.62,3
100 Meter Dash,Boys,3,,Finals,-1.9,Joel Paulwell,14,7,St. George's Col,11.66,2
100 Meter Dash,Boys,3,,Finals,-1.9,Tajae Whyte,14,8,William Knibb,11.74,1
100 Meter Dash,Girls,1,,Finals,-0.6,Christania Williams,14,1,Edwin Allen High,11.19,9
100 Meter Dash,Girls,1,,Finals,-0.6,Jonielle Smith,14,2,Wolmer's Hig,11.32,7
100 Meter Dash,Girls,1,,Finals,-0.6,Monique Spencer,14,3,Edwin Allen High,11.46,6
100 Meter Dash,Girls,1,,Finals,-0.6,Chanice Bonner,14,4,Holmwood Tech,11.70,5
100 Meter Dash,Girls,1,,Finals,-0.6,Dianna Johnson,14,5,Holmwood Tech,11.82,4
100 Meter Dash,Girls,1,,Finals,-0.6,Rochene Smith,14,6,The Queens School,11.86,3
100 Meter Dash,Girls,1,,Finals,-0.6,Renee Smith,14,7,Convent of Mercy,11.99,2
100 Meter Dash,Girls,1,,Finals,-0.6,Rene Medley,14,8,Vere Technical High,12.14,1
100 Meter Dash,Girls,2,,Finals,-0.3,Shauna Helps,14,1,Wolmer's Hig,11.80,9
100 Meter Dash,Girls,2,,Finals,-0.3,Natalliah Whyte,14,2,St. Jago High,11.80,7
100 Meter Dash,Girls,2,,Finals,-0.3,Shanice Reid,14,3,St. Jago High,11.89,6
100 Meter Dash,Girls,2,,Finals,-0.3,Tasheca Stanley,14,4,Edwin Allen High,12.16,5
100 Meter Dash,Girls,2,,Finals,-0.3,Isheena Belnavis,14,5,Hydel High,12.20,4
100 Meter Dash,Girls,2,,Finals,-0.3,Jeanine Williams,14,6,Immaculate C,12.25,3
100 Meter Dash,Girls,2,,Finals,-0.3,Samara Spencer,14,7,Hydel High,12.27,2
100 Meter Dash,Girls,2,,Finals,-0.3,Britney Hew,14,8,Holmwood Tech,12.29,1
100 Meter Dash,Girls,3,,Finals,-0.8,Shellece Clark,14,1,Edwin Allen High,11.79,9
100 Meter Dash,Girls,3,,Finals,-0.8,Shaneil English,14,2,Hydel High,11.87,7
100 Meter Dash,Girls,3,,Finals,-0.8,Yanique Dayle,14,3,Hydel High,11.93,6
100 Meter Dash,Girls,3,,Finals,-0.8,Kimone Shaw,14,4,St. Jago High,11.93,5
100 Meter Dash,Girls,3,,Finals,-0.8,Aaliyah Hopkins,14,5,Edwin Allen High,12.08,4
100 Meter Dash,Girls,3,,Finals,-0.8,Sidney Marshall,14,6,Manchester High,12.37,3
100 Meter Dash,Girls,3,,Finals,-0.8,Shani Morrison,14,7,Manchester High,12.41,2
100 Meter Dash,Girls,3,,Finals,-0.8,Shurria Henry,14,8,St. Jago High,12.46,1
100 Meter Dash,Girls,4,,Finals,-1.0,Kiara Grant,14,1,Convent of Mercy,11.98,9
100 Meter Dash,Girls,4,,Finals,-1.0,Kayla Bonnick,14,2,St. Jago High,12.25,7
100 Meter Dash,Girls,4,,Finals,-1.0,Ashanti Moore,14,3,Hydel High,12.36,6
100 Meter Dash,Girls,4,,Finals,-1.0,Jamani Richards,14,4,St. Jago High,12.43,5
100 Meter Dash,Girls,4,,Finals,-1.0,Shaunelle Wallace,14,5,Immaculate C,12.51,4
100 Meter Dash,Girls,4,,Finals,-1.0,Britney Richardson,14,6,Holy Childhood High,12.89,3
100 Meter Dash,Girls,4,,Finals,-1.0,Rosealee Cooper,14,7,St. Andrew H,13.03,2
100 Meter Dash,Girls,4,,Finals,-1.0,Sakinah Palmer,14,8,Holmwood Tech,13.18,1
200 Meter Dash,Boys,2,,Finals,0.4,Jhevaughn Matherson,14,1,20.97,20.97,9
200 Meter Dash,Boys,2,,Finals,0.4,Raheem Chambers,14,2,21.19,21.19,7
200 Meter Dash,Boys,2,,Finals,0.4,Anthony Carpenter,14,3,21.57,21.57,6
200 Meter Dash,Boys,2,,Finals,0.4,Leroy Francis,14,4,21.76,21.76,5
200 Meter Dash,Boys,2,,Finals,0.4,Rushane Edwards,14,5,21.93,21.93,4
200 Meter Dash,Boys,2,,Finals,0.4,Mathew Pinnock,14,6,22.03,22.03,3
200 Meter Dash,Boys,2,,Finals,0.4,Javar Mcleary,14,7,22.06,22.06,2
200 Meter Dash,Boys,1,,Finals,-0.2,Jevaughn Minzie,14,1,Bog Walk High,20.50,9
200 Meter Dash,Boys,1,,Finals,-0.2,Martin Manley,14,2,St. Jago High,20.73,7
200 Meter Dash,Boys,1,,Finals,-0.2,Michael O'Haro,14,3,Calabar High,20.86,6
200 Meter Dash,Boys,1,,Finals,-0.2,Nathon Allen,14,4,St. Jago High,21.06,5
200 Meter Dash,Boys,1,,Finals,-0.2,Shivnarine Smalling,14,5,Newell High,21.40,4
200 Meter Dash,Boys,1,,Finals,-0.2,Antonio Henry,14,6,Kingston College,21.42,3
200 Meter Dash,Boys,1,,Finals,-0.2,Javon Francis,14,7,Calabar High,24.32,2
200 Meter Dash,Boys,3,,Finals,-2.7,Tyreke Wilson,14,1,Calabar High,21.72R,9
200 Meter Dash,Boys,3,,Finals,-2.7,Christopher Taylor,14,2,Calabar High,22.24,7
200 Meter Dash,Boys,3,,Finals,-2.7,Gary Gordon,14,3,St. Jago High,22.72,6
200 Meter Dash,Boys,3,,Finals,-2.7,Jordan Roberts,14,4,Jamaica College,22.78,5
200 Meter Dash,Boys,3,,Finals,-2.7,Yashawn Hamilton,14,5,Kingston College,23.51,4
200 Meter Dash,Boys,3,,Finals,-2.7,Travis Williams,14,6,Gaynstead High,23.56,3
200 Meter Dash,Boys,3,,Finals,-2.7,Ackeem Gordon,14,7,Cornwall College,23.68,2
200 Meter Dash,Boys,3,,Finals,-2.7,Joel Paulwell,14,8,St. George's Col,23.71,1
200 Meter Dash,Girls,1,,Finals,-2.7,Jonielle Smith,14,1,Wolmer's Hig,23.45,9
200 Meter Dash,Girls,1,,Finals,-2.7,Saqukine Cameron,14,2,Edwin Allen High,23.58,7
200 Meter Dash,Girls,1,,Finals,-2.7,Sashalee Forbes,14,3,Holmwood Tech,23.65,6
200 Meter Dash,Girls,1,,Finals,-2.7,Monique Spencer,14,4,Edwin Allen High,23.66,5
200 Meter Dash,Girls,1,,Finals,-2.7,Asaine Hall,14,5,Petersfield High,24.00,4
200 Meter Dash,Girls,1,,Finals,-2.7,Chanice Bonner,14,6,Holmwood Tech,24.18,3
200 Meter Dash,Girls,1,,Finals,-2.7,Argyanna Bolton,14,7,Manchester High,24.74,2
200 Meter Dash,Girls,1,,Finals,-2.7,Renee Smith,14,8,Convent of Mercy,24.79,1
200 Meter Dash,Girls,2,,Finals,-2.7,Natalliah Whyte,14,1,St. Jago High,24.30,9
200 Meter Dash,Girls,2,,Finals,-2.7,Shanice Reid,14,2,St. Jago High,24.45,7
200 Meter Dash,Girls,2,,Finals,-2.7,Britney Hew,14,3,Holmwood Tech,25.26,6
