event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
Decathlon Open Finals.Html,Boys,Open,,Finals,,Osmond Holt,23,8,nil,4913x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,Damion Whyte,23,9,nil,4895x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Javeir Morrison,23,10,nil,4835x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Ajonie Barrett,23,11,nil,4822x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Yuri Reuben,23,12,nil,4514x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Rojay Robertson,23,13,nil,4492x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shakeem Robinson,23,14,nil,4490x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Te-Var Hammond,23,15,nil,4295x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Sherika Christie,23,1,nil,4868x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Sherika Thomas,23,2,nil,4560x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Ishna James,23,3,nil,4063x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Leojai Hibbert,23,4,nil,4042x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Omarian Constable,23,5,nil,3956x,5
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Saffron Lyons,23,6,nil,3928x,4
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Jayla-Shae Wright,23,7,nil,3903x,3
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Mireya Simpson,23,8,nil,3757x,2
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Tawani Murray,23,9,nil,3724x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Sasheka Palmer,23,10,nil,3573x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Norma-Lee White,23,11,nil,3529x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Brishawn Grant,23,12,nil,3493x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Italia Nelson,23,13,nil,3005x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Gabrielle Blake,23,14,nil,2824x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Brianna Carr,23,15,nil,2315x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Dorian Charles,24,1,nil,6954x,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,Rayvon Walkin,24,2,nil,5793x,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,Osmond Holt,24,3,nil,5450x,8
